09 Sep 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$46.53
10 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
11 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
11 Sep 2018,WHOLLY GREENS PTE LTD,S$3.20
11 Sep 2018,NTUC FP - PSA SINGAPORE 065,S$5.65
11 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
12 Sep 2018,FITLION PTE LTD,S$86.00
12 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
12 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
13 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
13 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
14 Sep 2018,MCDONALD'S (PSA) SINGAPORE 065,S$37.90
14 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
14 Sep 2018,WHOLLY GREENS PTE LTD,S$3.20
15 Sep 2018,TOG CONNECTION PTE LTD,S$47.00
15 Sep 2018,HUAT HUAT BBQ CHICKEN,S$9.60
15 Sep 2018,OLDTOWN WHITE COFFEE - SINGAPORE 065,S$18.60
15 Sep 2018,THE COFFEE BEAN-OC,S$12.50
16 Sep 2018,SUBWAY - POMO CTR,S$8.70
16 Sep 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$9.25
16 Sep 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
17 Sep 2018,GRAB *1107458-4-029,S$12.85
17 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
17 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
18 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
18 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
19 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
19 Sep 2018,GRAB *1107458-4-031,S$16.13
19 Sep 2018,GRAB *1107458-4-032,S$15.30
20 Sep 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$41.20
20 Sep 2018,WHOLLY GREENS PTE LTD,S$2.50
20 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
21 Sep 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
21 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
22 Sep 2018,GUARDIAN BUGIS MRT,S$29.90
22 Sep 2018,VIENNA INT L SEAFOOD R SINGAPORE 065,S$122.65
23 Sep 2018,LEVI'S 313@SOMERSET,S$242.90
23 Sep 2018,SUBWAY - POMO CTR,S$7.50
24 Sep 2018,WEITING ENT SHAW PLAZA,S$21.40
24 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
25 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
25 Sep 2018,WHOLLY GREENS PTE LTD,S$3.20
26 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
27 Sep 2018,GRAB *1107458-4-035,S$13.00
27 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
27 Sep 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$23.45
27 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
28 Sep 2018,UNDER ARMOUR - ORCHARD SINGAPORE 065,S$59.00
28 Sep 2018,SUBWAY - POMO CTR,S$8.50
28 Sep 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
28 Sep 2018,CHALLENGER-313,S$25.11
28 Sep 2018,DATAQUEST BASIC 14155697872 CA USD29.00,S$40.80
28 Sep 2018,THE COFFEE BEAN-OC,S$4.90
29 Sep 2018,STARBUCKS COFFEE(PP)SP,S$12.50
29 Sep 2018,UNIQLO ORCHARD CENTRAL,S$104.80
29 Sep 2018,STARBUCKS COFFEE(US)SP,S$12.50
29 Sep 2018,7-ELEVEN -ION ORCHARD,S$2.60
29 Sep 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$9.35
30 Sep 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
30 Sep 2018,THE COFFEE BEAN-OC,S$12.80
01 Oct 2018,WHOLLY GREENS PTE LTD,S$2.20
01 Oct 2018,WHOLLY GREENS PTE LTD,S$7.50
03 Oct 2018,01BEST DENKI-J8 12,S$60.75
03 Oct 2018,02LAZADA-DBS ONLINE IPP 12,S$100.08
03 Oct 2018,03MY PREFERRED PAYMENT PLAN06,S$974.24
